;play_id;corpus;character_id;genre;name;gender;acts;scenes;speech turns;lines;tokens;types;tok-types;prologue;act 1;act 2;act 3;act 4;act 5;act 6;act 7;act 8;act 9;scenes (rel);speech turns (rel);lines (rel);degree (rel);female edges;male edges;betweenness
0;dut000242;dutch;cleynmoedighe;unknown;Cleynmoedighe;MALE;1;1;20;103;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.18;0.19;1.0;0;0;0.0
1;dut000242;dutch;gheest-der-waerheyt;unknown;Gheest der waerheyt;MALE;1;1;31;150;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.28;0.28;1.0;0;1;0.0
2;dut000242;dutch;gheloovigh-herte;unknown;Gheloovigh herte;MALE;1;1;29;124;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.26;0.23;1.0;0;3;0.0
3;dut000242;dutch;lovelicke-mondt;unknown;Lovelicke mondt;MALE;1;1;31;152;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.28;0.29;1.0;0;2;0.0
4;dut000243;dutch;hope-der-ghenaden;unknown;Hope der ghenaden;FEMALE;1;1;40;169;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.28;0.29;1.0;0;0;0.0
5;dut000243;dutch;mensche;unknown;De Mensche;MALE;1;1;51;182;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.36;0.31;1.0;1;1;0.0
6;dut000243;dutch;schriftuerlic-troost;unknown;Schrifturelic troost;MALE;1;1;50;239;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.35;0.4;1.0;1;0;0.0
7;dut000118;dutch;goosen;unknown;Goosen;MALE;3;3;7;17;0;0;0;0;0.0;0.06;0.59;0.35;0.0;0.0;0.0;0.0;0.0;0.6;0.2;0.11;1.0;0;0;0.0
8;dut000118;dutch;waerdin;unknown;Waerdin;FEMALE;4;4;13;88;0;0;0;0;0.24;0.7;0.01;0.0;0.05;0.0;0.0;0.0;0.0;0.8;0.37;0.56;1.0;0;2;0.0
9;dut000118;dutch;waerdt;unknown;Waerdt;MALE;3;3;15;46;0;0;0;0;0.61;0.0;0.13;0.0;0.26;0.0;0.0;0.0;0.0;0.6;0.43;0.29;1.0;0;1;0.0
