;play_id;corpus;character_id;genre;name;gender;acts;scenes;speech turns;lines;tokens;types;tok-types;prologue;act 1;act 2;act 3;act 4;act 5;act 6;act 7;act 8;act 9;scenes (rel);speech turns (rel);lines (rel);degree (rel);female edges;male edges;betweenness
0;ep000318;eng;ep000318-chorus;unknown;Chorus;MALE;1;2;10;125;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.15;0.06;0.04;0.6;0;4;0.17
1;ep000318;eng;ep000318-marcus-brutus;unknown;Marcus Brutus;MALE;3;4;19;397;0;0;0;0;0.0;0.0;0.55;0.36;0.09;0.0;0.0;0.0;0.0;0.31;0.12;0.12;0.6;0;3;0.19
2;ep000318;eng;ep000318-decius-brutus;unknown;Decius Brutus;MALE;2;3;15;168;0;0;0;0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.23;0.1;0.05;0.5;0;2;0.09
3;ep000318;eng;ep000318-antonius;unknown;Antonius;MALE;2;2;21;173;0;0;0;0;0.0;0.63;0.0;0.0;0.37;0.0;0.0;0.0;0.0;0.15;0.14;0.05;0.5;0;4;0.06
4;ep000318;eng;ep000318-caesar;unknown;Caesar;MALE;2;2;32;489;0;0;0;0;0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.15;0.21;0.15;0.3;0;1;0.02
5;ep000318;eng;ep000318-cicero;unknown;Cicero;MALE;2;2;8;244;0;0;0;0;0.0;0.66;0.0;0.0;0.34;0.0;0.0;0.0;0.0;0.15;0.05;0.07;0.5;0;0;0.01
6;ep000318;eng;ep000318-cassius;unknown;Cassius;MALE;3;3;15;336;0;0;0;0;0.0;0.0;0.62;0.27;0.11;0.0;0.0;0.0;0.0;0.23;0.1;0.1;0.5;0;1;0.01
7;ep000318;eng;ep000318-portia;unknown;Portia;FEMALE;1;1;6;140;0;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.04;0.04;0.1;0;1;0.0
8;ep000318;eng;ep000318-calphurnia;unknown;Calphurnia;FEMALE;2;2;19;172;0;0;0;0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.15;0.12;0.05;0.4;0;3;0.06
9;ep000318;eng;ep000318-nuntius;unknown;Nuntius;MALE;1;1;8;133;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.08;0.05;0.04;0.2;1;1;0.0
10;ep000315;eng;ep000315-chorus;unknown;Chorus;MALE;3;3;12;102;0;0;0;0;0.0;0.0;0.53;0.21;0.26;0.0;0.0;0.0;0.0;0.23;0.09;0.03;0.5;1;3;0.03
11;ep000315;eng;ep000315-solon;unknown;Solon;MALE;1;2;18;236;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.14;0.08;0.2;0;0;0.0
