;play_id;corpus;character_id;genre;name;gender;acts;scenes;speech turns;lines;tokens;types;tok-types;prologue;act 1;act 2;act 3;act 4;act 5;act 6;act 7;act 8;act 9;scenes (rel);speech turns (rel);lines (rel);degree (rel);female edges;male edges;betweenness
0;fre000001;fre;argelie;unknown;Argélie;FEMALE;4;12;51;469;0;0;0;0;0.35;0.17;0.0;0.46;0.02;0.0;0.0;0.0;0.0;0.41;0.2;0.25;0.71;2;3;0.03
1;fre000001;fre;clytie;unknown;Clytie;FEMALE;3;4;13;56;0;0;0;0;0.52;0.36;0.0;0.0;0.12;0.0;0.0;0.0;0.0;0.14;0.05;0.03;0.71;2;2;0.07
2;fre000001;fre;timagene;unknown;Timagene;MALE;4;6;28;185;0;0;0;0;0.37;0.17;0.0;0.35;0.11;0.0;0.0;0.0;0.0;0.21;0.11;0.1;0.57;0;1;0.0
3;fre000001;fre;phoenix;unknown;Phoenix;MALE;5;11;38;373;0;0;0;0;0.18;0.01;0.61;0.01;0.18;0.0;0.0;0.0;0.0;0.38;0.15;0.2;0.86;1;1;0.13
4;fre000001;fre;ismene;unknown;Ismene;FEMALE;5;19;85;582;0;0;0;0;0.12;0.41;0.15;0.09;0.22;0.0;0.0;0.0;0.0;0.66;0.33;0.31;1.0;1;1;0.29
5;fre000001;fre;dione;unknown;Dione;FEMALE;3;5;12;41;0;0;0;0;0.0;0.54;0.1;0.0;0.37;0.0;0.0;0.0;0.0;0.17;0.05;0.02;0.29;0;0;0.0
6;fre000001;fre;arcas;unknown;Arcas;MALE;3;6;19;107;0;0;0;0;0.0;0.1;0.0;0.56;0.34;0.0;0.0;0.0;0.0;0.21;0.07;0.06;0.43;1;1;0.0
7;fre000001;fre;cleon;unknown;Cléon;MALE;2;2;8;71;0;0;0;0;0.0;0.0;0.37;0.0;0.63;0.0;0.0;0.0;0.0;0.07;0.03;0.04;0.29;1;0;0.0
8;fre000002;fre;coriolan;unknown;C. Martius;MALE;0;14;78;615;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.61;0.32;0.35;0.67;0;1;0.02
9;fre000002;fre;albin;unknown;Albin;MALE;0;8;23;137;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35;0.09;0.08;0.67;1;0;0.02
10;fre000002;fre;aufide;unknown;Aufide;MALE;0;5;31;214;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22;0.13;0.12;0.5;1;1;0.0
11;fre000002;fre;virgile;unknown;Virgile;UNKNOWN;0;9;57;328;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39;0.23;0.19;0.83;1;1;0.08
12;fre000002;fre;sabine;unknown;Sabine;FEMALE;0;4;12;43;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.05;0.02;0.5;1;1;0.0
