;play_id;corpus;character_id;genre;name;gender;acts;scenes;speech turns;lines;tokens;types;tok-types;prologue;act 1;act 2;act 3;act 4;act 5;act 6;act 7;act 8;act 9;scenes (rel);speech turns (rel);lines (rel);degree (rel);female edges;male edges;betweenness
0;ger000630;ger;robert;unknown;Robert;MALE;0;9;57;58;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.29;0.29;0.67;1;3;0.19
1;ger000630;ger;jeny;unknown;Jeny;FEMALE;0;9;25;25;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.13;0.12;0.6;0;2;0.06
2;ger000630;ger;breiden;unknown;Breiden;MALE;0;1;12;12;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.06;0.06;0.07;0;1;0.0
3;ger000630;ger;karl;unknown;Karl;MALE;0;1;7;7;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.04;0.03;0.2;0;0;0.0
4;ger000630;ger;betty;unknown;Betty;FEMALE;0;1;6;6;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.03;0.03;0.07;0;1;0.0
5;ger000630;ger;kepler;unknown;Kepler;MALE;0;3;12;12;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.06;0.06;0.53;1;2;0.13
6;ger000630;ger;john;unknown;John;MALE;0;1;12;12;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.06;0.06;0.2;0;2;0.0
7;ger000630;ger;william;unknown;William;MALE;0;2;13;13;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13;0.07;0.06;0.2;0;1;0.0
8;ger000630;ger;georg;unknown;Georg;MALE;0;6;21;21;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.11;0.1;0.73;1;1;0.37
9;ger000630;ger;nollet;unknown;Graf Nollet;MALE;0;2;5;7;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13;0.03;0.03;0.53;0;3;0.13
10;ger000630;ger;bedienter;unknown;Ein Bedienter;MALE;0;1;1;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.01;0.0;0.07;0;0;0.0
11;ger000630;ger;lieutenant;unknown;Lieutenant;MALE;0;1;8;8;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.04;0.04;0.2;1;2;0.0
12;ger000630;ger;klinton;unknown;General Klinton;MALE;0;1;11;11;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.06;0.05;0.47;1;3;0.0
13;ger000630;ger;robert jeny;unknown;UNKNOWN;u;0;2;2;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13;0.01;0.01;0.53;0;3;0.03
14;ger000630;ger;william john;unknown;UNKNOWN;u;0;1;1;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.01;0.0;0.2;0;0;0.0
15;ger000630;ger;robert georg william john;unknown;UNKNOWN;u;0;1;1;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.01;0.0;0.47;0;1;0.0
16;ger000525;ger;oront;unknown;Oront;MALE;0;6;81;86;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67;0.37;0.38;1.0;2;2;0.0
