;play_id;corpus;character_id;genre;name;gender;acts;scenes;speech turns;lines;tokens;types;tok-types;prologue;act 1;act 2;act 3;act 4;act 5;act 6;act 7;act 8;act 9;scenes (rel);speech turns (rel);lines (rel);degree (rel);female edges;male edges;betweenness
0;ita000002;ita;egisto;unknown;Egisto;MALE;5;12;80;497;0;0;0;0;0.19;0.17;0.15;0.26;0.23;0.0;0.0;0.0;0.0;0.48;0.29;0.32;1.0;0;1;0.0
1;ita000002;ita;clitennestra;unknown;Clitennestra;FEMALE;5;13;108;387;0;0;0;0;0.25;0.21;0.08;0.24;0.23;0.0;0.0;0.0;0.0;0.52;0.39;0.25;1.0;0;1;0.0
2;ita000002;ita;elettra;unknown;Elettra;FEMALE;5;13;52;320;0;0;0;0;0.35;0.25;0.27;0.1;0.04;0.0;0.0;0.0;0.0;0.52;0.19;0.21;1.0;1;1;0.0
3;ita000002;ita;agamennone;unknown;Agamennone;MALE;4;9;40;327;0;0;0;0;0.0;0.19;0.5;0.31;0.01;0.0;0.0;0.0;0.0;0.36;0.14;0.21;1.0;2;0;0.0
4;ita000003;ita;argia;unknown;Argia;FEMALE;4;6;58;226;0;0;0;0;0.53;0.16;0.0;0.18;0.13;0.0;0.0;0.0;0.0;0.27;0.19;0.15;1.0;1;1;0.0
5;ita000003;ita;antigone;unknown;Antigone;FEMALE;5;11;80;435;0;0;0;0;0.4;0.18;0.19;0.07;0.17;0.0;0.0;0.0;0.0;0.5;0.26;0.28;1.0;0;1;0.0
6;ita000003;ita;creonte;unknown;Creonte;MALE;4;15;97;461;0;0;0;0;0.0;0.28;0.25;0.31;0.16;0.0;0.0;0.0;0.0;0.68;0.31;0.3;1.0;2;1;0.0
7;ita000003;ita;emone;unknown;Emone;MALE;4;8;73;397;0;0;0;0;0.0;0.2;0.49;0.2;0.11;0.0;0.0;0.0;0.0;0.36;0.24;0.26;1.0;0;0;0.0
8;ita000004;ita;popolo;unknown;Popolo;UNKNOWN;3;6;46;129;0;0;0;0;0.18;0.35;0.0;0.0;0.47;0.0;0.0;0.0;0.0;0.3;0.16;0.08;1.0;0;4;0.0
9;ita000004;ita;collatino;unknown;Collatino;MALE;4;10;47;242;0;0;0;0;0.16;0.0;0.09;0.42;0.33;0.0;0.0;0.0;0.0;0.5;0.16;0.16;1.0;0;5;0.0
10;ita000004;ita;bruto;unknown;Bruto;MALE;4;14;73;642;0;0;0;0;0.26;0.32;0.0;0.26;0.16;0.0;0.0;0.0;0.0;0.7;0.25;0.42;1.0;0;2;0.0
11;ita000004;ita;tito;unknown;Tito;MALE;4;7;36;102;0;0;0;0;0.0;0.17;0.45;0.36;0.02;0.0;0.0;0.0;0.0;0.35;0.12;0.07;1.0;0;3;0.0
12;ita000004;ita;tiberio;unknown;Tiberio;MALE;4;8;41;146;0;0;0;0;0.0;0.38;0.38;0.22;0.02;0.0;0.0;0.0;0.0;0.4;0.14;0.09;1.0;0;3;0.0
13;ita000004;ita;valerio;unknown;Valerio;MALE;2;4;15;76;0;0;0;0;0.0;0.29;0.0;0.0;0.71;0.0;0.0;0.0;0.0;0.2;0.05;0.05;1.0;0;0;0.0
14;ita000004;ita;mamilio;unknown;Mamilio;MALE;2;4;32;192;0;0;0;0;0.0;0.15;0.85;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.11;0.12;1.0;0;2;0.0
15;ita000005;ita;alcuni_senatori;unknown;Alcuni Senatori;MALE;1;1;1;1;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.62;0;1;0.0
16;ita000005;ita;altri_senatori;unknown;Altri Senatori;MALE;1;1;1;1;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.62;0;0;0.0
17;ita000005;ita;popolo;unknown;Popolo;UNKNOWN;1;1;15;25;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.07;0.06;0.02;0.12;0;1;0.0
18;ita000005;ita;cesare;unknown;Cesare;MALE;3;5;40;295;0;0;0;0;0.24;0.0;0.59;0.0;0.18;0.0;0.0;0.0;0.0;0.36;0.16;0.18;0.88;0;7;0.04
19;ita000005;ita;cimbro;unknown;Cimbro;MALE;4;8;29;119;0;0;0;0;0.24;0.44;0.0;0.29;0.03;0.0;0.0;0.0;0.0;0.57;0.12;0.07;0.88;0;6;0.04
20;ita000005;ita;antonio;unknown;Antonio;MALE;3;3;21;113;0;0;0;0;0.43;0.0;0.34;0.23;0.0;0.0;0.0;0.0;0.0;0.21;0.08;0.07;0.62;0;3;0.0
21;ita000005;ita;cassio;unknown;Cassio;MALE;4;8;41;185;0;0;0;0;0.19;0.42;0.0;0.26;0.12;0.0;0.0;0.0;0.0;0.57;0.16;0.11;0.88;0;4;0.04
22;ita000005;ita;cicerone;unknown;Cicerone;MALE;2;4;11;142;0;0;0;0;0.37;0.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29;0.04;0.09;0.62;0;1;0.0
23;ita000005;ita;bruto;unknown;Bruto;MALE;5;9;92;747;0;0;0;0;0.08;0.17;0.25;0.24;0.25;0.0;0.0;0.0;0.0;0.64;0.37;0.46;1.0;0;2;0.29
24;ita000006;ita;cosimo;unknown;Cosimo;MALE;4;9;68;375;0;0;0;0;0.21;0.4;0.25;0.0;0.14;0.0;0.0;0.0;0.0;0.39;0.23;0.24;1.0;1;3;0.06
25;ita000006;ita;diego;unknown;Diego;MALE;3;5;35;165;0;0;0;0;0.53;0.22;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.22;0.12;0.11;0.75;0;2;0.0
26;ita000006;ita;piero;unknown;Piero;MALE;4;11;66;351;0;0;0;0;0.17;0.3;0.14;0.39;0.0;0.0;0.0;0.0;0.0;0.48;0.22;0.23;1.0;1;1;0.06
27;ita000006;ita;garzia;unknown;Garzia;MALE;4;14;91;530;0;0;0;0;0.2;0.0;0.42;0.18;0.2;0.0;0.0;0.0;0.0;0.61;0.31;0.34;1.0;0;0;0.06
28;ita000006;ita;eleonora;unknown;Eleonora;FEMALE;4;6;37;122;0;0;0;0;0.0;0.37;0.23;0.2;0.2;0.0;0.0;0.0;0.0;0.26;0.12;0.08;0.75;0;1;0.0
29;ita000007;ita;isabella;unknown;Isabella;FEMALE;5;12;100;356;0;0;0;0;0.26;0.17;0.06;0.24;0.27;0.0;0.0;0.0;0.0;0.5;0.32;0.22;0.6;0;1;0.0
30;ita000007;ita;carlo;unknown;Carlo;MALE;5;13;76;465;0;0;0;0;0.34;0.1;0.06;0.17;0.32;0.0;0.0;0.0;0.0;0.54;0.24;0.29;0.8;1;1;0.03
31;ita000007;ita;perez;unknown;Perez;MALE;2;2;13;111;0;0;0;0;0.32;0.0;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.04;0.07;0.8;0;2;0.03
32;ita000007;ita;filippo;unknown;Filippo;MALE;4;11;80;457;0;0;0;0;0.0;0.48;0.18;0.16;0.18;0.0;0.0;0.0;0.0;0.46;0.25;0.28;1.0;0;4;0.12
33;ita000007;ita;gomez;unknown;Gomez;MALE;4;7;40;167;0;0;0;0;0.0;0.07;0.32;0.6;0.01;0.0;0.0;0.0;0.0;0.29;0.13;0.1;1.0;1;0;0.12
34;ita000007;ita;leonardo;unknown;Leonardo;MALE;1;1;5;64;0;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.02;0.04;0.6;0;2;0.0
35;ita000008;ita;raimondo;unknown;Raimondo;MALE;5;11;82;508;0;0;0;0;0.22;0.07;0.34;0.14;0.22;0.0;0.0;0.0;0.0;0.46;0.3;0.31;1.0;0;2;0.15
36;ita000008;ita;guglielmo;unknown;Guglielmo;MALE;5;12;56;344;0;0;0;0;0.19;0.12;0.22;0.37;0.1;0.0;0.0;0.0;0.0;0.5;0.2;0.21;1.0;0;3;0.15
37;ita000008;ita;bianca;unknown;Bianca;FEMALE;4;9;64;300;0;0;0;0;0.25;0.15;0.06;0.0;0.53;0.0;0.0;0.0;0.0;0.38;0.23;0.18;0.8;0;4;0.0
38;ita000008;ita;lorenzo;unknown;Lorenzo;MALE;3;7;31;164;0;0;0;0;0.0;0.65;0.0;0.19;0.16;0.0;0.0;0.0;0.0;0.29;0.11;0.1;0.8;0;1;0.0
39;ita000008;ita;giuliano;unknown;Giuliano;MALE;2;8;26;183;0;0;0;0;0.0;0.52;0.0;0.48;0.0;0.0;0.0;0.0;0.0;0.33;0.09;0.11;0.8;0;1;0.0
