;play_id;corpus;author;title;genre;year;characters;male;female;%_male_chars;%_female_chars;%_female_lines;acts;scenes;speech_turns;lines;mean_sp_length;density;%_male_lines
cal000001;cal000001;cal;Pedro Calderón ;A Dios por razón de estado;unknown;1717;18;7;10;0.39;0.56;0.36;1;12;474;1999;4.22;0.51;0.62
cal000002;cal000002;cal;Pedro Calderón ;A María el corazón;unknown;1717;14;4;9;0.29;0.64;0.46;1;34;431;1722;4.0;0.27;0.46
cal000055;cal000055;cal;Pedro Calderón ;A secreto agravio, secreta venganza;unknown;1637;13;11;2;0.85;0.15;0.21;3;50;351;2860;8.15;0.37;0.79
cal000003;cal000003;cal;Pedro Calderón ;Afectos de odio y amor;unknown;1664;14;9;5;0.64;0.36;0.44;3;90;819;4090;4.99;0.25;0.55
cal000056;cal000056;cal;Pedro Calderón ;Agradecer y no amar;unknown;1653;10;5;4;0.5;0.4;0.36;3;74;830;3576;4.31;0.39;0.63
cal000057;cal000057;cal;Pedro Calderón ;Amado y aborrecido;unknown;1657;16;7;8;0.44;0.5;0.33;3;83;920;4052;4.4;0.45;0.64
cal000058;cal000058;cal;Pedro Calderón ;Amar después de la muerte o el tuzaní de la Alpujarra;unknown;1691;25;18;6;0.72;0.24;0.14;3;54;727;3419;4.7;0.26;0.85
cal000152;cal000152;cal;Pedro Calderón ;La divina Filotea;unknown;1717;25;15;9;0.6;0.36;0.37;1;51;447;2152;4.81;0.17;0.6
cal000059;cal000059;cal;Pedro Calderón ;Amigo, amante y leal;unknown;1653;9;5;4;0.56;0.44;0.3;3;54;641;3650;5.69;0.67;0.7
cal000004;cal000004;cal;Pedro Calderón ;Amor, honor y poder;unknown;1637;9;7;2;0.78;0.22;0.28;3;50;593;2963;5.0;0.69;0.72
cal000005;cal000005;cal;Pedro Calderón ;Andrómeda y Perseo;unknown;1759;16;8;7;0.5;0.44;0.5;1;23;417;1924;4.61;0.55;0.44
cal000060;cal000060;cal;Pedro Calderón ;Antes que todo es mi dama;unknown;1684;11;7;4;0.64;0.36;0.25;3;82;872;3942;4.52;0.68;0.75
cal000061;cal000061;cal;Pedro Calderón ;Apolo y Climene;unknown;1688;16;7;6;0.44;0.38;0.45;3;43;810;4347;5.37;0.36;0.51
cal000062;cal000062;cal;Pedro Calderón ;Argenis y Poliarco;unknown;1637;15;9;5;0.6;0.33;0.19;3;33;636;3653;5.74;0.49;0.81
cal000063;cal000063;cal;Pedro Calderón ;Auristela y Lisidante;unknown;1715;18;11;6;0.61;0.33;0.28;3;77;1207;4735;3.92;0.39;0.68
