;play_id;corpus;author;title;genre;year;characters;male;female;%_male_chars;%_female_chars;%_female_lines;acts;scenes;speech_turns;lines;mean_sp_length;density;%_male_lines
dut000242;dut000242;dutch;De Heilige Geest/ Alpha et Omega ;Ipre;unknown;1539;4;4;0;1.0;0.0;0.0;1;1;111;531;4.78;1.0;1.0
dut000243;dut000243;dutch;Altoos Doende ;Leffijnghe;unknown;1539;3;2;1;0.67;0.33;0.29;1;1;141;591;4.19;1.0;0.71
dut000118;dut000118;dutch;Jan Arp ;Singhende klucht van droncke Goosen;unknown;1639;3;2;1;0.67;0.33;0.56;5;5;35;156;4.46;1.0;0.4
dut000119;dut000119;dutch;Thomas Asselijn ;De kwakzalver;unknown;1692;7;3;4;0.43;0.57;0.19;1;13;312;568;1.82;0.79;0.79
dut000249;dut000249;dutch;De Baptisten ;Wynoxberghe;unknown;1539;5;5;0;1.0;0.0;0.0;1;1;107;512;4.79;1.0;1.0
dut000239;dut000239;dutch;De Barbaristen ;Cortrijcke;unknown;1539;4;4;0;1.0;0.0;0.0;1;1;85;520;6.12;1.0;1.0
dut000244;dut000244;dutch;De Barbaristen ;Meenene;unknown;1539;4;1;0;0.25;0.0;0.0;1;1;95;498;5.24;1.0;0.17
dut000045;dut000045;dutch;Willem Baudous ;Tragedie ofte treur-spel, van Edipes en Antigone;unknown;1618;21;16;5;0.76;0.24;0.38;5;19;521;2252;4.32;0.31;0.58
dut000238;dut000238;dutch;De Berkenisten ;Caprijcke;unknown;1539;9;2;7;0.22;0.78;0.57;1;1;245;573;2.34;1.0;0.43
dut000101;dut000101;dutch;Govert Bidloo ;Fabius Severus;unknown;1680;11;8;3;0.73;0.27;0.32;5;43;495;1882;3.8;0.93;0.68
dut000096;dut000096;dutch;Adriaan Boelens ;Bedrooge vryer;unknown;1649;12;7;5;0.58;0.42;0.43;1;8;221;524;2.37;0.61;0.52
dut000135;dut000135;dutch;Michiel Breda ;Krispyn, poëet, en officier;unknown;1685;8;5;3;0.62;0.38;0.28;1;16;315;965;3.06;0.93;0.72
dut000037;dut000037;dutch;Gerbrand Adriaenszoon Bredero ;Rodd'rick ende Alphonsus;unknown;1616;14;10;4;0.71;0.29;0.36;3;15;269;2774;10.31;0.44;0.58
dut000046;dut000046;dutch;Gerbrand Adriaenszoon Bredero ;Spaanschen Brabander;unknown;1618;26;19;7;0.73;0.27;0.2;6;12;531;2583;4.86;0.46;0.72
dut000102;dut000102;dutch;Thomas Corneille  & Noël Breton Hauteroche  & Thomas Corneille  & Pieter Lacroix ;De vermakelyke rouw;unknown;1685;7;5;2;0.71;0.29;0.14;1;15;295;795;2.69;1.0;0.85
dut000073;dut000073;dutch;Pierre Corneille  & Johan Heemskerck ;De Cid;unknown;1641;12;8;4;0.67;0.33;0.44;5;33;380;1979;5.21;0.44;0.56
dut000100;dut000100;dutch;Pierre Corneille  & Govert Bidloo ;De dood van Pompeus;unknown;1684;16;9;3;0.56;0.19;0.34;6;24;197;1988;10.09;0.23;0.61
dut000219;dut000219;dutch;Samuel Coster ;Iphigenia;unknown;1617;16;13;2;0.81;0.12;0.1;5;21;352;1919;5.45;0.62;0.88
dut000220;dut000220;dutch;Samuel Coster  & Pieter Corneliszoon Hooft ;Isabella;unknown;1619;13;10;2;0.77;0.15;0.29;5;22;475;2180;4.59;0.37;0.63
dut000222;dut000222;dutch;Samuel Coster ;Ithys;unknown;1615;11;5;5;0.45;0.45;0.59;5;26;220;1901;8.64;0.35;0.29
dut000221;dut000221;dutch;Samuel Coster ;Polyxena;unknown;1619;15;7;5;0.47;0.33;0.36;5;35;262;2321;8.86;0.31;0.54
dut000103;dut000103;dutch;Pieter Lacroix ;De gewaande advocaat;unknown;1685;7;6;1;0.86;0.14;0.06;1;25;338;1118;3.31;1.0;0.93
dut000104;dut000104;dutch;Pieter Lacroix ;De meid juffrouw;unknown;1685;7;5;2;0.71;0.29;0.17;1;15;391;587;1.5;1.0;0.81
dut000247;dut000247;dutch;De Fonteine ;Thienen;unknown;1539;8;5;0;0.62;0.0;0.0;1;1;116;557;4.8;1.0;0.83
dut000253;dut000253;dutch;De Pellicaen ;Abrahams offerande;unknown;1600;13;10;3;0.77;0.23;0.25;1;4;359;1169;3.26;0.56;0.74
dut000263;dut000263;dutch;De Pellicaen ;Avont, nacht ende morgenstont;unknown;1600;6;3;2;0.5;0.33;0.37;1;4;316;1094;3.46;0.73;0.47
dut000274;dut000274;dutch;De Pellicaen ;Christum liefde bewijsen;unknown;1600;15;7;7;0.47;0.47;0.49;1;2;460;1895;4.12;0.99;0.51
dut000254;dut000254;dutch;De Pellicaen ;Coninck Proetus Abantus;unknown;1600;14;3;4;0.21;0.29;0.14;1;4;415;1197;2.88;0.58;0.29
dut000264;dut000264;dutch;De Pellicaen ;Cranckheijt des vleijsch;unknown;1600;7;2;0;0.29;0.0;0.0;1;5;282;1037;3.68;0.62;0.22
