;play_id;corpus;author;title;genre;year;characters;male;female;%_male_chars;%_female_chars;%_female_lines;acts;scenes;speech_turns;lines;mean_sp_length;density;%_male_lines
ep000318;ep000318;eng;William Alexander  &  &  & ;Caesar;unknown;1604;11;8;3;0.73;0.27;0.09;5;13;154;3308;21.48;0.38;0.62
ep000315;ep000315;eng;William Alexander  &  &  & ;Croesus;unknown;1604;11;10;1;0.91;0.09;0.06;5;13;128;2958;23.11;0.33;0.71
ep000316;ep000316;eng;William Alexander  &  &  & ;Darius;unknown;1603;14;0;0;0.0;0.0;0.0;5;12;155;2272;14.66;0.26;0.0
ep000317;ep000317;eng;William Alexander  &  &  & ;The Alexandraean Tragedy;unknown;1605;16;14;2;0.88;0.12;0.12;5;13;156;3499;22.43;0.29;0.62
ep000117;ep000117;eng; & ;A Knack to Know a Knave;unknown;1592;29;27;2;0.93;0.07;0.04;0;1;393;1736;4.42;1.0;0.96
ep000129;ep000129;eng; &  & ;A Larum for London, or The Siege of Antwerp;unknown;1602;39;33;5;0.85;0.13;0.0;1;1;451;1580;3.5;0.0;0.0
ep000485;ep000485;eng; &  &  & ;Alphonsus, Emperor of Germany;unknown;1594;19;17;2;0.89;0.11;0.0;5;5;715;2502;3.5;0.0;0.0
ep000393;ep000393;eng; &  & ;Arden of Faversham;unknown;1590;18;16;2;0.89;0.11;0.25;0;1;757;2428;3.21;1.0;0.74
ep000081;ep000081;eng;;Band, Cuff, and Ruff, or Exchange Ware at the Second Hand;unknown;1615;3;3;0;1.0;0.0;0.0;0;1;79;84;1.06;1.0;0.92
ep000815;ep000815;eng;;Caesar and Pompey, or Caesar's Revenge;unknown;1592;28;23;3;0.82;0.11;0.07;5;20;277;2489;8.99;0.34;0.78
ep000651;ep000651;eng;;Canterbury His Change of Diet;unknown;1641;11;10;1;0.91;0.09;0.0;4;1;68;136;2.0;0.0;0.0
ep000397;ep000397;eng; & ;Fair Em;unknown;1590;19;15;4;0.79;0.21;0.22;1;1;426;1483;3.48;1.0;0.77
ep000288;ep000288;eng;;Jack Straw;unknown;1590;22;20;2;0.91;0.09;0.0;4;4;177;854;4.82;0.0;0.0
ep000119;ep000119;eng; & ;1 Jeronimo, with the Wars of Portugal;unknown;1604;25;22;2;0.88;0.08;0.05;0;1;475;1274;2.68;1.0;0.94
ep000578;ep000578;eng;anon.  &  & ;Mucedorus (and Amadine);unknown;1591;17;14;3;0.82;0.18;0.0;1;1;555;1409;2.54;0.0;0.0
ep000217;ep000217;eng;;Nero;unknown;1624;30;27;3;0.9;0.1;0.0;5;5;461;2304;5.0;0.0;0.0
ep000218;ep000218;eng;;Nobody and Somebody;unknown;1603;28;24;4;0.86;0.14;0.0;1;1;810;1992;2.46;0.0;0.0
ep000349;ep000349;eng;;The Contention between Liberality and Prodigality;unknown;1601;25;21;4;0.84;0.16;0.15;6;26;459;1249;2.72;0.31;0.71
ep000257;ep000257;eng; & ;The London Prodigal;unknown;1603;19;15;4;0.79;0.21;0.14;0;1;775;1599;2.06;1.0;0.83
ep000145;ep000145;eng;;The Maid's Metamorphosis;unknown;1600;25;13;11;0.52;0.44;0.0;6;5;626;1778;2.84;0.0;0.0
