;play_id;corpus;author;title;genre;year;characters;male;female;%_male_chars;%_female_chars;%_female_lines;acts;scenes;speech_turns;lines;mean_sp_length;density;%_male_lines
fre000001;fre000001;fre;Gaspard Abeille ;Argélie, Reine de Thessalie;unknown;1674;8;4;4;0.5;0.5;0.6;5;29;254;1900;7.48;0.61;0.39
fre000002;fre000002;fre;Gaspard Abeille ;Coriolan;unknown;1676;7;3;3;0.43;0.43;0.24;0;23;243;1733;7.13;0.57;0.56
fre000003;fre000003;fre;Gaspard Abeille ;Lyncée;unknown;1681;7;4;3;0.57;0.43;0.52;5;26;213;1563;7.34;0.62;0.48
fre000005;fre000005;fre;Jean Dumas d'Aigueberre ;L'Avare Amoureux;unknown;1781;8;4;3;0.5;0.38;0.46;1;22;306;815;2.66;0.61;0.54
fre000006;fre000006;fre;Jean Dumas d'Aigueberre ;Pan et Doris Pastorale;unknown;1729;9;3;0;0.33;0.0;0.0;1;7;60;240;4.0;0.83;0.63
fre000007;fre000007;fre;Jean Dumas d'Aigueberre ;Polixène;unknown;1729;4;2;2;0.5;0.5;0.48;1;10;48;382;7.96;0.83;0.5
fre000008;fre000008;fre;Jean Dumas d'Aigueberre ;Les Trois Spectacles Prologue;unknown;1729;7;3;4;0.43;0.57;0.39;1;2;50;133;2.66;1.0;0.56
fre000009;fre000009;fre;Robert Alain ;L'Epreuve Réciproque;unknown;1711;6;3;3;0.5;0.5;0.48;1;18;281;765;2.72;0.87;0.51
fre000010;fre000010;fre;Léonor Soulas d'Allainval ;L'Ecole des Bourgeois;unknown;1728;13;5;2;0.38;0.15;0.22;3;49;670;2230;3.33;0.6;0.27
fre000011;fre000011;fre;Léonor Soulas d'Allainval ;L'Hiver;unknown;1733;10;4;3;0.4;0.3;0.23;1;15;315;1026;3.26;0.2;0.53
fre000015;fre000015;fre;François Andrieux ;Anaximandre, Comédie.;unknown;1805;5;2;3;0.4;0.6;0.55;1;12;173;764;4.42;0.6;0.36
fre001572;fre001572;fre;François Andrieux ;Les Etourdis;unknown;1788;8;6;2;0.75;0.25;0.17;0;38;547;1356;2.48;0.79;0.82
fre001504;fre001504;fre;;Dialogue de la Prude et de la Coquette;unknown;1659;2;0;2;0.0;1.0;0.99;0;1;41;188;4.59;1.0;0.0
fre000019;fre000019;fre;;Les Bonnes Gens;unknown;1772;6;3;0;0.5;0.0;0.0;1;6;58;447;7.71;0.6;0.56
fre000021;fre000021;fre;;Fragment d'une Comédie Intitulée Chapelain Décoiffé [2];unknown;1666;2;2;0;1.0;0.0;0.0;1;2;30;129;4.3;1.0;1.0
fre000020;fre000020;fre;;Fragment d'une Comédie Intitulée Chapelain Décoiffé.;unknown;1666;3;3;0;1.0;0.0;0.0;1;5;64;267;4.17;1.0;1.0
fre000022;fre000022;fre;;Le Club des Dames ou Le Retour de Descartes;unknown;1784;11;3;5;0.27;0.45;0.56;1;8;180;666;3.7;0.51;0.34
fre001502;fre001502;fre;;Dialogue d'Alcippe et de Dionice;unknown;1659;2;2;0;1.0;0.0;0.0;0;1;15;51;3.4;1.0;1.0
fre000023;fre000023;fre;;La Déroute des Précieuses;unknown;1659;7;3;0;0.43;0.0;0.0;0;6;8;79;9.88;0.05;0.61
fre001503;fre001503;fre;;Dialogue des Yeux et de la Bouche;unknown;1659;2;0;0;0.0;0.0;0.0;0;1;22;80;3.64;1.0;0.0
fre000024;fre000024;fre;;Dialogue entre Voltaire et Rousseau;unknown;1778;2;2;0;1.0;0.0;0.0;1;1;36;146;4.06;1.0;0.99
