;play_id;corpus;author;title;genre;year;characters;male;female;%_male_chars;%_female_chars;%_female_lines;acts;scenes;speech_turns;lines;mean_sp_length;density;%_male_lines
ger000630;ger000630;ger;Karl Alexander  & ;Die Verpfändung;unknown;1779;13;11;2;0.85;0.15;0.15;0;15;194;201;1.04;0.36;0.81
ger000525;ger000525;ger;Johann André  & ;Der Comödienfeind;unknown;1765;6;4;2;0.67;0.33;0.04;0;9;220;227;1.03;1.0;0.96
ger000639;ger000639;ger;;Amalie und Charlotte Baronessen von Habenichts: oder die ungleichen Schwestern;unknown;1754;11;7;4;0.64;0.36;0.48;0;21;248;261;1.05;0.56;0.51
ger000642;ger000642;ger;;Das Ehrenmaal des Patrioten;unknown;1774;6;2;0;0.33;0.0;0.0;0;1;49;209;4.27;1.0;0.09
ger000631;ger000631;ger; & ;Das Lustlager;unknown;1778;11;7;4;0.64;0.36;0.44;0;17;367;371;1.01;0.78;0.55
ger000698;ger000698;ger;;Das Münchner Spiel vom sterbenden Menschen;unknown;1510;32;19;1;0.59;0.03;0.02;0;1;141;1849;13.11;0.94;0.83
ger000624;ger000624;ger;;Das Urtheil des Paris;unknown;1752;6;3;3;0.5;0.5;0.41;0;6;34;236;6.94;0.44;0.44
ger000588;ger000588;ger; & ;Der deutsche Student;unknown;1779;20;17;3;0.85;0.15;0.06;5;25;190;198;1.04;0.17;0.93
ger000682;ger000682;ger; & ;Der von der Liebe betrogene Philosoph;unknown;1750;6;3;3;0.5;0.5;0.4;0;21;260;272;1.05;0.9;0.59
ger000663;ger000663;ger;;Die gedruckten Theater-Regeln, oder: Welcher Stand ist beßer?;unknown;1779;8;6;2;0.75;0.25;0.11;0;13;175;180;1.03;0.71;0.87
ger000640;ger000640;ger;;Die Gespenster;unknown;1770;4;3;1;0.75;0.25;0.1;0;9;86;88;1.02;1.0;0.88
ger000657;ger000657;ger;;Die verhandelte Braut;unknown;1760;7;4;3;0.57;0.43;0.47;0;8;118;120;1.02;1.0;0.51
