;play_id;corpus;author;title;genre;year;characters;male;female;%_male_chars;%_female_chars;%_female_lines;acts;scenes;speech_turns;lines;mean_sp_length;density;%_male_lines
ita000001;ita000001;ita;Luigi Alamanni  & ;Tragedia di Antigone;unknown;1527;10;7;3;0.7;0.3;0.0;1;0;267;1700;6.37;0.0;0.0
ita000002;ita000002;ita;Vittorio Alfieri  & ;Agamennone;unknown;1783;4;2;2;0.5;0.5;0.46;5;25;280;1537;5.49;1.0;0.54
ita000003;ita000003;ita;Vittorio Alfieri  & ;Antigone;unknown;1783;4;2;2;0.5;0.5;0.43;5;22;308;1527;4.96;1.0;0.56
ita000004;ita000004;ita;Vittorio Alfieri  & ;Bruto primo;unknown;1789;7;6;0;0.86;0.0;0.0;5;20;290;1538;5.3;1.0;0.91
ita000005;ita000005;ita;Vittorio Alfieri  & ;Bruto secondo;unknown;1789;9;8;0;0.89;0.0;0.0;5;14;251;1638;6.53;0.69;0.98
ita000006;ita000006;ita;Vittorio Alfieri  & ;Don Garzia;unknown;1789;5;4;1;0.8;0.2;0.08;5;23;297;1549;5.22;0.9;0.92
ita000007;ita000007;ita;Vittorio Alfieri  & ;Filippo;unknown;1783;6;5;1;0.83;0.17;0.22;5;24;314;1626;5.18;0.8;0.78
ita000008;ita000008;ita;Vittorio Alfieri  & ;La congiura de' Pazzi;unknown;1788;6;5;1;0.83;0.17;0.18;5;24;275;1626;5.91;0.8;0.81
ita000009;ita000009;ita;Vittorio Alfieri  & ;Maria Stuarda;unknown;1788;5;4;1;0.8;0.2;0.35;5;27;313;1635;5.22;0.9;0.65
ita000010;ita000010;ita;Vittorio Alfieri  & ;Merope;unknown;1783;6;4;1;0.67;0.17;0.3;5;21;336;1660;4.94;1.0;0.69
ita000011;ita000011;ita;Vittorio Alfieri  & ;Mirra;unknown;1789;6;2;3;0.33;0.5;0.56;5;22;232;1599;6.89;1.0;0.41
ita000012;ita000012;ita;Vittorio Alfieri  & ;Oreste;unknown;1783;5;3;2;0.6;0.4;0.44;5;30;474;1727;3.64;1.0;0.55
ita000013;ita000013;ita;Vittorio Alfieri  & ;Ottavia;unknown;1783;5;3;2;0.6;0.4;0.42;5;27;294;1598;5.44;1.0;0.58
ita000014;ita000014;ita;Vittorio Alfieri  & ;Polinice;unknown;1783;5;3;2;0.6;0.4;0.42;5;21;329;1652;5.02;1.0;0.57
ita000015;ita000015;ita;Vittorio Alfieri  & ;Rosmunda;unknown;1783;4;2;2;0.5;0.5;0.53;5;24;309;1638;5.3;1.0;0.47
ita000016;ita000016;ita;Vittorio Alfieri  & ;Saul;unknown;1788;6;5;1;0.83;0.17;0.15;5;24;282;1771;6.28;0.87;0.85
ita000017;ita000017;ita;Vittorio Alfieri  & ;Sofonisba;unknown;1789;4;3;1;0.75;0.25;0.27;5;23;173;1232;7.12;1.0;0.72
ita000018;ita000018;ita;Vittorio Alfieri  & ;Timoleone;unknown;1783;4;3;1;0.75;0.25;0.16;5;20;271;1488;5.49;1.0;0.84
ita000019;ita000019;ita;Vittorio Alfieri  & ;Virginia;unknown;;7;4;2;0.57;0.29;0.23;5;21;302;1647;5.45;0.95;0.75
ita000020;ita000020;ita;Giovan Andreini ;Lo schiavetto;unknown;1612;24;21;2;0.88;0.08;0.19;5;46;1627;1761;1.08;0.61;0.76
ita000021;ita000021;ita;;Cleopatra e Marc'Antonio Tragedia;unknown;;12;9;3;0.75;0.25;0.0;0;0;281;1292;4.6;0.0;0.0
ita000023;ita000023;ita;;La Canterina;unknown;unknown;4;2;2;0.5;0.5;0.0;0;0;243;496;2.04;0.0;0.0
ita000025;ita000025;ita;;La rappresentazione della natività di Nostro Signore Gesù Cristo (Stanze della festa di Ottaviano Imperatore);unknown;;16;12;2;0.75;0.12;0.0;0;0;69;406;5.88;0.0;0.0
ita000026;ita000026;ita;;La rappresentazione di Josef, di Jacob e de' fratelli;unknown;;20;17;1;0.85;0.05;0.0;0;0;112;712;6.36;0.0;0.0
ita000027;ita000027;ita;;La rappresentazione di Moisè e Faraone re d'Egitto;unknown;;14;4;8;0.29;0.57;0.0;0;0;55;445;8.09;0.0;0.0
ita000029;ita000029;ita;;La rappresentazione di San Bernardo d'uno Signore facea rubare le strade;unknown;;15;12;1;0.8;0.07;0.0;0;0;47;527;11.21;0.0;0.0
ita000031;ita000031;ita;;La veniexiana;unknown;1536;6;2;4;0.33;0.67;0.0;0;0;568;706;1.24;0.0;0.0
ita000033;ita000033;ita;;Quando Iddio fece il mondo e l'uomo e ogni cosa creata;unknown;;23;5;1;0.22;0.04;0.0;0;0;72;622;8.64;0.0;0.0
ita000035;ita000035;ita;Ludovico Ariosto  & ;Cassaria;unknown;unknown;20;18;2;0.9;0.1;0.02;5;30;755;795;1.05;0.27;0.93
ita000036;ita000036;ita;Ludovico Ariosto  & ;I Studenti;unknown;;12;9;3;0.75;0.25;0.06;6;18;429;1916;4.47;0.23;0.83
ita000037;ita000037;ita;Ludovico Ariosto  & ;I Suppositi (red. in versi);unknown;1529;17;14;3;0.82;0.18;0.08;6;34;710;2584;3.64;0.32;0.9
